selected,word,phonology,contrast,contrastGroup,source,syllableCount,syllableTemplate,syllable1,syllable2,phones,phoneLength,orthLength,ipaTarget,ttsText,phonologicalNeighborhoodSize,nearestRealWordDistance,nearestRealWords,englishZipfFrequency,selectionScore
1,dikman,easy,control,,generated,2,CVC-CVC,dik,man,D IH K M AE N,6,6,/dɪkmæn/,dik-man,4,1,dickman|dickmann|dyckman|dykman,0.0,-0.25
0,finman,easy,control,,generated,2,CVC-CVC,fin,man,F IH N M AE N,6,6,/fɪnmæn/,fin-man,4,1,fineran|finneran|fishman|tinman,0.0,-0.25
0,hikman,easy,control,,generated,2,CVC-CVC,hik,man,HH IH K M AE N,6,6,/hɪkmæn/,hik-man,5,1,hackman|hickman|hickmon|hillman|hitman,0.0,-0.0677
1,kempak,easy,control,,generated,2,CVC-CVC,kem,pak,K EH M P AE K,6,6,/kɛmpæk/,kem-pak,3,1,compaq|kempke|rempac,0.0,-0.0269
1,konmak,easy,control,,generated,2,CVC-CVC,kon,mak,K AA N M AE K,6,6,/kɑnmæk/,kon-mak,3,1,cognac|conrac|contac,0.0,-0.0269
1,piknak,easy,control,,generated,2,CVC-CVC,pik,nak,P IH K N AE K,6,6,/pɪknæk/,pik-nak,3,1,knickknack|picnic|pilnak,0.0,-0.0269
1,daknik,easy,control,,generated,2,CVC-CVC,dak,nik,D AE K N IH K,6,6,/dæknɪk/,dak-nik,2,1,danek|machnik,0.0,0.2608
1,finkan,easy,control,,generated,2,CVC-CVC,fin,kan,F IH N K AE N,6,6,/fɪnkæn/,fin-kan,2,1,fineran|finneran,0.0,0.2608
1,hakmen,easy,control,,generated,2,CVC-CVC,hak,men,HH AE K M EH N,6,6,/hækmɛn/,hak-men,2,1,hackman|hackmann,0.0,0.2608
1,hamkik,easy,control,,generated,2,CVC-CVC,ham,kik,HH AE M K IH K,6,6,/hæmkɪk/,ham-kik,2,1,hamric|hamrick,0.0,0.2608
0,himman,easy,control,,generated,2,CVC-CVC,him,man,HH IH M M AE N,6,6,/hɪmmæn/,him-man,2,1,hillman|hitman,0.0,0.2608
0,hinmak,easy,control,,generated,2,CVC-CVC,hin,mak,HH IH N M AE K,6,6,/hɪnmæk/,hin-mak,2,1,hinzack|inmac,0.0,0.2608
0,kiknak,easy,control,,generated,2,CVC-CVC,kik,nak,K IH K N AE K,6,6,/kɪknæk/,kik-nak,2,1,kickback|knickknack,0.0,0.2608
0,kikpak,easy,control,,generated,2,CVC-CVC,kik,pak,K IH K P AE K,6,6,/kɪkpæk/,kik-pak,2,1,kickback|killpack,0.0,0.2608
0,kimpak,easy,control,,generated,2,CVC-CVC,kim,pak,K IH M P AE K,6,6,/kɪmpæk/,kim-pak,2,1,compaq|killpack,0.0,0.2608
1,minkek,easy,control,,generated,2,CVC-CVC,min,kek,M IH N K EH K,6,6,/mɪnkɛk/,min-kek,2,1,macek|minntech,0.0,0.2608
0,pekman,easy,control,,generated,2,CVC-CVC,pek,man,P EH K M AE N,6,6,/pɛkmæn/,pek-man,2,1,pechman|peckman,0.0,0.2608
0,teknak,easy,control,,generated,2,CVC-CVC,tek,nak,T EH K N AE K,6,6,/tɛknæk/,tek-nak,2,1,technic|technique,0.0,0.2608
0,tinmak,easy,control,,generated,2,CVC-CVC,tin,mak,T IH N M AE K,6,6,/tɪnmæk/,tin-mak,2,1,inmac|tinman,0.0,0.2608
1,tomkak,easy,control,,generated,2,CVC-CVC,tom,kak,T AA M K AE K,6,6,/tɑmkæk/,tom-kak,2,1,tomcat|tomczak,0.0,0.2608
0,wempak,easy,control,,generated,2,CVC-CVC,wem,pak,W EH M P AE K,6,6,/wɛmpæk/,wem-pak,2,1,rempac|wespac,0.0,0.2608
0,winmak,easy,control,,generated,2,CVC-CVC,win,mak,W IH N M AE K,6,6,/wɪnmæk/,win-mak,2,1,inmac|winamac,0.0,0.2608
0,hekman,easy,control,,generated,2,CVC-CVC,hek,man,HH EH K M AE N,6,6,/hɛkmæn/,hek-man,3,1,hackman|heckman|heckmann,1.11,0.3031
0,dankik,easy,control,,generated,2,CVC-CVC,dan,kik,D AE N K IH K,6,6,/dænkɪk/,dan-kik,1,1,danek,0.0,0.6663
0,datkek,easy,control,,generated,2,CVC-CVC,dat,kek,D AE T K EH K,6,6,/dætkɛk/,dat-kek,1,1,datek,0.0,0.6663
0,dekman,easy,control,,generated,2,CVC-CVC,dek,man,D EH K M AE N,6,6,/dɛkmæn/,dek-man,1,1,deckman,0.0,0.6663
0,dekpan,easy,control,,generated,2,CVC-CVC,dek,pan,D EH K P AE N,6,6,/dɛkpæn/,dek-pan,1,1,deadpan,0.0,0.6663
0,dektak,easy,control,,generated,2,CVC-CVC,dek,tak,D EH K T AE K,6,6,/dɛktæk/,dek-tak,1,1,deltak,0.0,0.6663
0,demkik,easy,control,,generated,2,CVC-CVC,dem,kik,D EH M K IH K,6,6,/dɛmkɪk/,dem-kik,1,1,demick,0.0,0.6663
